RETURN	PRICE
0	296
0.0134230203	296
0.0066445427	300
-0.0066445427	302
0.0132452268	300
-0.0032948959	304
-0.0132892321	303
-0.0202709644	299
0.0034071583	293
0	294
-0.0034071583	294
0.0068027473	293
-0.0274931406	295
0.0034782644	287
0.0307716587	288
0.0265796378	297
0.006535971	305
0	307
-0.0098200462	307
-0.0032948959	304
0.0032948959	303
0	304
0.0163135755	304
0	309
0	309
-0.0064935293	309
-0.0032626456	307
-0.0065574005	306
-0.0132452268	304
-0.0134230203	300
0.0167508104	296
-0.0100167782	301
-0.0101181302	298
0	295
-0.0068027473	295
-0.0034188067	293
0.0169783365	292
-0.0101523715	297
-0.0034071583	294
0.0434124929	293
-0.0098522964	306
-0.0066225408	303
0.0066225408	301
0.0163669775	303
-0.0097880064	308
-0.0098847592	305
-0.0033167526	302
-0.0133781259	301
0.0067114346	297
0	299
